block_group,census_tract,county,state,MEDIAN AGE BY SEX-Total,MEDIAN AGE BY SEX-Male,MEDIAN AGE BY SEX-Female,MEDIAN AGE BY SEX-Black-Total,MEDIAN AGE BY SEX-Black-Male,MEDIAN AGE BY SEX-Black-Female,MEDIAN AGE BY SEX-Amer_Alaska_Native-Total,MEDIAN AGE BY SEX-Amer_Alaska_Native-Male,MEDIAN AGE BY SEX-Amer_Alaska_Native-Female,MEDIAN AGE BY SEX-Asian-Total,MEDIAN AGE BY SEX-Asian-Male,MEDIAN AGE BY SEX-Asian-Female,MEDIAN AGE BY SEX-Hawaiian_Pac_Islander-Total,MEDIAN AGE BY SEX-Hawaiian_Pac_Islander-Male,MEDIAN AGE BY SEX-Hawaiian_Pac_Islander-Female,MEDIAN AGE BY SEX-White_Non_Hisp-Total,MEDIAN AGE BY SEX-White_Non_Hisp-Male,MEDIAN AGE BY SEX-White_Non_Hisp-Female,MEDIAN AGE BY SEX-Hispanic_Latino-Total,MEDIAN AGE BY SEX-Hispanic_Latino-Male,MEDIAN AGE BY SEX-Hispanic_Latino-Female,state_code,county_code,tract_code,block_group_code
Block Group 1, Census Tract 4003.01, Delaware County, Pennsylvania,33.1,27.7,42.0,33.5,24.0,41.9,-666666666.0,-666666666.0,-666666666.0,49.3,54.3,26.9,-666666666.0,-666666666.0,-666666666.0,32.6,-666666666.0,32.9,-666666666.0,-666666666.0,-666666666.0,42,045,400301,1
Block Group 2, Census Tract 4003.01, Delaware County, Pennsylvania,28.0,26.6,32.8,26.9,39.3,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.8,63.3,60.3,26.6,-666666666.0,-666666666.0,42,045,400301,2
Block Group 5, Census Tract 4007, Delaware County, Pennsylvania,47.1,38.2,58.1,45.4,21.2,58.1,-666666666.0,-666666666.0,-666666666.0,23.0,-666666666.0,63.1,-666666666.0,-666666666.0,-666666666.0,52.6,38.6,58.8,21.4,-666666666.0,21.4,42,045,400700,5
Block Group 1, Census Tract 4007, Delaware County, Pennsylvania,38.3,36.7,38.7,22.8,35.0,22.8,-666666666.0,-666666666.0,-666666666.0,26.9,31.1,26.8,-666666666.0,-666666666.0,-666666666.0,55.9,55.6,61.4,36.6,36.2,-666666666.0,42,045,400700,1
Block Group 4, Census Tract 4007, Delaware County, Pennsylvania,34.9,28.9,42.8,19.6,15.5,38.3,-666666666.0,-666666666.0,-666666666.0,34.7,33.3,60.3,-666666666.0,-666666666.0,-666666666.0,52.0,51.4,56.5,79.0,-666666666.0,-666666666.0,42,045,400700,4
Block Group 3, Census Tract 4007, Delaware County, Pennsylvania,36.2,42.5,31.2,12.3,-666666666.0,10.6,-666666666.0,-666666666.0,-666666666.0,26.3,26.3,37.5,-666666666.0,-666666666.0,-666666666.0,60.2,51.9,60.4,45.1,-666666666.0,-666666666.0,42,045,400700,3
Block Group 1, Census Tract 4010, Delaware County, Pennsylvania,39.8,39.2,41.1,23.2,31.0,23.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3,38.5,45.4,-666666666.0,-666666666.0,-666666666.0,42,045,401000,1
Block Group 2, Census Tract 4015.01, Delaware County, Pennsylvania,36.9,38.0,36.6,36.5,39.3,14.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3,38.6,36.7,25.1,25.1,17.0,42,045,401501,2
Block Group 1, Census Tract 4030.02, Delaware County, Pennsylvania,44.0,46.6,40.0,41.4,-666666666.0,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4,45.7,44.1,-666666666.0,-666666666.0,-666666666.0,42,045,403002,1
Block Group 3, Census Tract 4025, Delaware County, Pennsylvania,29.3,26.9,35.1,26.3,25.5,27.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5,57.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42,045,402500,3
